id,iata,name,official_name,name:ru,name:uk,uwagi
way/85568096,QEO,Bielsko-Biała-Aleksandrowice,,Аэропорт Бельско-Бяла Александровице,Аеропорт Бельсько-Бяла-Олександровіце,
way/234838628,QYY,Lotnisko Białystok-Krywlany,,Аэропорт Белосток-Кривляны,Аеропорт Білосток-Кривляни,
way/237594029,WAW,Lotnisko Chopina,Port Lotniczy im. Fryderyka Chopina,Международный Аэропорт имени Фредерика Шопена,Міжнародний аеропорт імені Фридерика Шопена,
way/133848454,CZW,Lotnisko Częstochowa - Rudniki,,Аэропорт Ченстохова-Рудники,Аеропорт Ченстохова-Рудники,
way/164200210,ZBG,Lotnisko Elbląg,,Аэропорт Эльблонг,Аеропорт Ельблонг,
way/512967994,QKI,Lotnisko Kielce-Masłów,,Аэропорт Кельце-Маслов,Аеропорт Кельце-Маслув,
way/608674696,ZWK,Lotnisko Suwałki,,Аэропорт Сувалки,Аеропорт Сувалки,
way/93759497,KRK,Międzynarodowy Port Lotniczy im. Jana Pawła II Kraków-Balice,Międzynarodowy Port Lotniczy imienia Jana Pawła II Kraków-Balice,Международный аэропорт Краков-Балице имени Иоанна Павла II,Міжнародний аеропорт імені Яна Павла II Краків-Балиці,
way/257952302,KTW,Międzynarodowy Port Lotniczy Katowice w Pyrzowicach,Międzynarodowy Port Lotniczy Katowice-Pyrzowice,Международный аэропорт Катовице-Пыжовице,Міжнародний аеропорт Катовиці-Пижовиці,
way/218063401,QPC,Płock-Kostrogaj,,Аэропорт Плоцк-Кострогай,Аеропорт Плоцьк-Кострогай,
way/5004330,BZG,Port Lotniczy Bydgoszcz-Szwederowo,Międzynarodowy Port Lotniczy im. Ignacego Jana Paderewskiego Bydgoszcz,Международный аэропорт Быдгоща имени Игнатия Яна Падеревского,Міжнародний аеропорт Бидгоща імені Ігнація Яна Падеревського,
way/53291380,GDN,Port lotniczy Gdańsk im. Lecha Wałęsy,Port Lotniczy Gdańsk im. Lecha Wałęsy,Гданьский аэропорт имени Леха Валенсы,Гданський аеропорт імені Леха Валенси,
way/385094667,QYD,Port lotniczy Gdynia-Kosakowo,,Аэропорт Гдыня-Косаково,Аеропорт Ґдиня-Косаково,
way/407511357,LCJ,Port Lotniczy Łódź im. Władysława Reymonta,Port Lotniczy Łódź im. Władysława Reymonta,Аэропорт Лодзь имени Владислава Реймонта,Аеропорт Лодзь імені Владислава Реймонта,
way/71386702,LUZ,Port Lotniczy Lublin,,Аэропорт Люблин,Аеропорт Люблін,
way/392448523,SZY,Port lotniczy Olsztyn-Mazury,,Международный аэропорт Ольштын-Мазурия,Міжнародний аеропорт Ольштин-Мазури,
way/342024881,POZ,Port Lotniczy Poznań-Ławica im. Henryka Wieniawskiego,Port Lotniczy Poznań-Ławica,Аэропорт Познань-Лавица,Аеропорт Познань-Лавиця імені Генрика Венявського,
relation/7324792,RZE,Port lotniczy Rzeszów-Jasionka,,Международный аэропорт Жешув-Ясёнко,Міжнародний аеропорт Ряшів-Ясенка,
node/2018344591,OSP,Port lotniczy Słupsk-Redzikowo,,Аэропорт Слупск-Редзиково,Аеропорт Слупськ-Редзіково,
way/333282638,SZZ,"Port Lotniczy Szczecin-Goleniów im. NSZZ ""Solidarność""",,Аэропорт Щецин-Голенюв имени Солидарности,Аеропорт Щецин-Голенюв імені Солідарності,
way/168515978,WMI,Port Lotniczy Warszawa-Modlin,Mazowiecki Port Lotniczy Warszawa-Modlin,Аэропорт Варшава-Модлин,Аеропорт Варшава-Модлін,
way/616266929,RDO,Port Lotniczy Warszawa-Radom,Port Lotniczy Warszawa-Radom im. Bohaterów Radomskiego Czerwca 1976 roku,Аэропорт Варшава-Радом,Аеропорт Варшава-Радом,
node/408720211,WRO,Port Lotniczy Wrocław,Port Lotniczy Wrocław im. Mikołaja Kopernika,Вроцлавский аэропорт имени Коперника,Аеропорт Вроцлав імені Миколая Коперника,
way/56064358,IEG,Port lotniczy Zielona Góra-Babimost,,Аэропорт Зелёна Гура-Бабимост,Аеропорт Зелена Гура-Бабімост,